Size,Instance,Epsilon,Algorithm,Objective,TimeDev,IntentDev,Runtime
40,1,1e-06,Greedy,1844.6059284242053,14,14,0.012613296508789062
40,1,1e-06,SA,1915.294474363689,16,16,8.08875584602356
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,3.2577643394470215
40,1,1e-06,SA,1870.9132751567438,15,15,2.1586825847625732
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,2.0862765312194824
40,1,1e-06,SA,1882.9391947958727,15,15,2.414353370666504
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,2.7384865283966064
40,1,1e-06,SA,1905.6467904366395,16,16,2.1884663105010986
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,2.047732353210449
40,1,1e-06,SA,1904.2581392048573,16,16,2.2129597663879395
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,2.062901496887207
40,1,1e-06,SA,1890.5175842344072,16,16,2.7026121616363525
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,2.610574722290039
40,1,1e-06,SA,1871.3591596613476,15,15,2.214522361755371
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,2.0523464679718018
40,1,1e-06,SA,1899.9624909712543,16,16,2.1427717208862305
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,1.9817078113555908
40,1,1e-06,SA,1915.0456568942982,17,17,3.118248701095581
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,2.0806713104248047
40,1,1e-06,SA,1870.2911662990582,15,15,2.069894790649414
40,1,1e-06,Adaptive SA,1844.6059284242056,14,14,2.0162272453308105
40,2,1e-06,Greedy,1895.9877588760498,14,14,0.0033233165740966797
40,2,1e-06,SA,1944.5544086853536,16,16,2.1209588050842285
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,1.9607789516448975
40,2,1e-06,SA,1924.5479812376805,15,15,3.1505956649780273
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,2.0426900386810303
40,2,1e-06,SA,1923.768673579146,15,15,2.13386607170105
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,2.077354907989502
40,2,1e-06,SA,1938.3767976033535,15,15,2.1956303119659424
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,2.301990509033203
40,2,1e-06,SA,1944.5544086853536,16,16,3.0567822456359863
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,2.0003132820129395
40,2,1e-06,SA,1903.4273863907101,15,15,2.1658778190612793
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,2.0078980922698975
40,2,1e-06,SA,1895.9877588760498,14,14,2.105818748474121
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,2.452667474746704
40,2,1e-06,SA,1931.9610164929657,15,15,2.744182586669922
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,2.0530641078948975
40,2,1e-06,SA,1895.9877588760498,14,14,2.1324727535247803
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,2.0254361629486084
40,2,1e-06,SA,1913.3011465843313,15,15,2.133193016052246
40,2,1e-06,Adaptive SA,1895.9877588760498,14,14,2.77111554145813
40,3,1e-06,Greedy,1880.009710394405,14,14,0.0059814453125
40,3,1e-06,SA,1898.1075016754057,15,15,3.0581347942352295
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,2.1790032386779785
40,3,1e-06,SA,1943.9363686804693,16,16,2.1963565349578857
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,2.274831771850586
40,3,1e-06,SA,1931.6016248541232,16,16,2.759577512741089
40,3,1e-06,Adaptive SA,1880.009710394405,14,14,2.7276723384857178
40,3,1e-06,SA,1915.6652139959747,15,15,2.061784029006958
